"","Gene.set.name","Category"
"644","Mitotic Metaphase/Anaphase Transition","BP"
"645","Mo-Molybdopterin Cofactor Biosynthetic Process","BP"
"646","Mo-Molybdopterin Cofactor Metabolic Process","BP"
"647","Modification-Dependent Macromolecule Catabolic Process","BP"
"648","Modification-Dependent Protein Catabolic Process","BP"
"649","Modification By Host Of Symbiont Morphology Or Physiology","BP"
"650","Modification By Organism Of Cell Membrane In Other Organism Involved In Symbiotic Interaction","BP"
"651","Modification By Symbiont Of Host Cellular Component","BP"
"652","Modification By Symbiont Of Host Cell Membrane","BP"
"653","Modification By Symbiont Of Host Morphology Or Physiology","BP"
"654","Modification By Symbiont Of Host Structure","BP"
"655","Modification Of Cellular Component In Other Organism Involved In Symbiotic Interaction","BP"
"656","Modification Of Morphology Or Physiology Of Other Organism Involved In Symbiotic Interaction","BP"
"657","Modification Of Structure Of Other Organism Involved In Symbiotic Interaction","BP"
"658","Molybdopterin Cofactor Biosynthetic Process","BP"
"659","Molybdopterin Cofactor Metabolic Process","BP"
"660","Monocarboxylic Acid Metabolic Process","BP"
"661","Monosaccharide Biosynthetic Process","BP"
"662","Monosaccharide Catabolic Process","BP"
"663","Monosaccharide Metabolic Process","BP"
"664","Monovalent Inorganic Cation Homeostasis","BP"
"665","Monovalent Inorganic Cation Transport","BP"
"666","Mrna Catabolic Process","BP"
"667","Mrna Cleavage","BP"
"668","Mrna Export From Nucleus","BP"
"669","Mrna Metabolic Process","BP"
"670","Mrna Processing","BP"
"671","Mrna Splicing, Via Spliceosome","BP"
"672","Mrna Transport","BP"
"673","Multi-Organism Process","BP"
"674","Multicellular Organismal Development","BP"
"675","Multicellular Organismal Process","BP"
"676","Multicellular Organismal Reproductive Process","BP"
"677","Multicellular Organism Reproduction","BP"
"678","M Phase","BP"
"679","M Phase Of Meiotic Cell Cycle","BP"
"680","M Phase Of Mitotic Cell Cycle","BP"
"681","N-Terminal Protein Amino Acid Modification","BP"
"682","N-Terminal Protein Lipidation","BP"
"683","N-Terminal Protein Myristoylation","BP"
"684","Nadph Regeneration","BP"
"685","Nadp Metabolic Process","BP"
"686","Nad Biosynthetic Process","BP"
"687","Nad Metabolic Process","BP"
"688","Ncrna Metabolic Process","BP"
"689","Ncrna Processing","BP"
"690","Negative Regulation Of Apoptotic Process","BP"
"691","Negative Regulation Of Biological Process","BP"
"692","Negative Regulation Of Biosynthetic Process","BP"
"693","Negative Regulation Of Catalytic Activity","BP"
"694","Negative Regulation Of Cellular Biosynthetic Process","BP"
"695","Negative Regulation Of Cellular Metabolic Process","BP"
"696","Negative Regulation Of Cellular Process","BP"
"697","Negative Regulation Of Cellular Protein Metabolic Process","BP"
"698","Negative Regulation Of Cell Death","BP"
"699","Negative Regulation Of Dna Metabolic Process","BP"
"700","Negative Regulation Of Dna Replication","BP"
"701","Negative Regulation Of Gene Expression","BP"
"702","Negative Regulation Of Gene Expression, Epigenetic","BP"
"703","Negative Regulation Of Macromolecule Biosynthetic Process","BP"
"704","Negative Regulation Of Macromolecule Metabolic Process","BP"
"705","Negative Regulation Of Metabolic Process","BP"
"706","Negative Regulation Of Molecular Function","BP"
"707","Negative Regulation Of Nitrogen Compound Metabolic Process","BP"
"708","Negative Regulation Of Nucleobase-Containing Compound Metabolic Process","BP"
"709","Negative Regulation Of Programmed Cell Death","BP"
"710","Negative Regulation Of Protein Metabolic Process","BP"
"711","Negative Regulation Of Rna Metabolic Process","BP"
"712","Negative Regulation Of Transcription From Rna Polymerase Iii Promoter","BP"
"713","Negative Regulation Of Translation","BP"
"714","Negative Regulation Of Translational Elongation","BP"
"715","Neurological System Process","BP"
"716","Neuropeptide Signaling Pathway","BP"
"717","Neurotransmitter Secretion","BP"
"718","Neurotransmitter Transport","BP"
"719","Nicotianamine Biosynthetic Process","BP"
"720","Nicotianamine Metabolic Process","BP"
"721","Nicotinamide Metabolic Process","BP"
"722","Nicotinamide Nucleotide Biosynthetic Process","BP"
"723","Nicotinamide Nucleotide Metabolic Process","BP"
"724","Nitrate Assimilation","BP"
"725","Nitrate Metabolic Process","BP"
"726","Nitric Oxide Biosynthetic Process","BP"
"727","Nitric Oxide Metabolic Process","BP"
"728","Nitrogen Compound Metabolic Process","BP"
"729","Nitrogen Fixation","BP"
"730","Nitrogen Utilization","BP"
"731","Non-Recombinational Repair","BP"
"732","Nonribosomal Peptide Biosynthetic Process","BP"
"733","Nuclear Division","BP"
"734","Nuclear Export","BP"
"735","Nuclear Import","BP"
"736","Nuclear Transport","BP"
"737","Nucleic Acid Transport","BP"
"738","Nucleobase-Containing Compound Biosynthetic Process","BP"
"739","Nucleobase-Containing Compound Metabolic Process","BP"
"740","Nucleobase-Containing Compound Transport","BP"
"741","Nucleobase-Containing Small Molecule Biosynthetic Process","BP"
"742","Nucleobase-Containing Small Molecule Metabolic Process","BP"
"743","Nucleobase Biosynthetic Process","BP"
"744","Nucleobase Metabolic Process","BP"
"745","Nucleocytoplasmic Transport","BP"
"746","Nucleoside Biosynthetic Process","BP"
"747","Nucleoside Bisphosphate Metabolic Process","BP"
"748","Nucleoside Diphosphate Biosynthetic Process","BP"
"749","Nucleoside Diphosphate Metabolic Process","BP"
"750","Nucleoside Metabolic Process","BP"
"751","Nucleoside Monophosphate Biosynthetic Process","BP"
"752","Nucleoside Monophosphate Metabolic Process","BP"
"753","Nucleoside Phosphate Metabolic Process","BP"
"754","Nucleoside Salvage","BP"
"755","Nucleoside Triphosphate Biosynthetic Process","BP"
"756","Nucleoside Triphosphate Metabolic Process","BP"
"757","Nucleosome Assembly","BP"
"758","Nucleosome Organization","BP"
"759","Nucleotide-Excision Repair","BP"
"760","Nucleotide-Sugar Metabolic Process","BP"
"761","Nucleotide-Sugar Transport","BP"
"762","Nucleotide Biosynthetic Process","BP"
"763","Nucleotide Metabolic Process","BP"
"764","Oligopeptide Transport","BP"
"765","Oligosaccharide Biosynthetic Process","BP"
"766","Oligosaccharide Metabolic Process","BP"
"767","Oligosaccharide Transport","BP"
"768","One-Carbon Metabolic Process","BP"
"769","Organelle Assembly","BP"
"770","Organelle Fission","BP"
"771","Organelle Organization","BP"
"772","Organic Acid Biosynthetic Process","BP"
"773","Organic Acid Catabolic Process","BP"
"774","Organic Acid Metabolic Process","BP"
"775","Organic Acid Transport","BP"
"776","Organic Anion Transport","BP"
"777","Organic Hydroxy Compound Transport","BP"
"778","Organic Substance Metabolic Process","BP"
"779","Organophosphate Metabolic Process","BP"
"780","Organ Development","BP"
"781","Ornithine Metabolic Process","BP"
"782","Outer Mitochondrial Membrane Organization","BP"
"783","Oxidation-Reduction Process","BP"
"784","Oxidative Phosphorylation","BP"
"785","Oxidoreduction Coenzyme Metabolic Process","BP"
"786","Oxoacid Metabolic Process","BP"
"787","Oxygen And Reactive Oxygen Species Metabolic Process","BP"
"788","Oxygen Transport","BP"
"789","Pantothenate Biosynthetic Process","BP"
"790","Pantothenate Metabolic Process","BP"
"791","Pathogenesis","BP"
"792","Penicillin Biosynthetic Process","BP"
"793","Penicillin Metabolic Process","BP"
"794","Pentose-Phosphate Shunt","BP"
"795","Pentose-Phosphate Shunt, Non-Oxidative Branch","BP"
"796","Pentose Metabolic Process","BP"
"797","Peptide Biosynthetic Process","BP"
"798","Peptide Metabolic Process","BP"
"799","Peptide Transport","BP"
"800","Peptidoglycan-Based Cell Wall Biogenesis","BP"
"801","Peptidoglycan Biosynthetic Process","BP"
"802","Peptidoglycan Metabolic Process","BP"
"803","Peptidyl-Amino Acid Modification","BP"
"804","Peptidyl-Asparagine Modification","BP"
"805","Peptidyl-Diphthamide Biosynthetic Process From Peptidyl-Histidine","BP"
"806","Peptidyl-Diphthamide Metabolic Process","BP"
"807","Peptidyl-Histidine Modification","BP"
"808","Peptidyl-Histidine Phosphorylation","BP"
"809","Peptidyl-Lysine Modification","BP"
"810","Peptidyl-Lysine Modification To Hypusine","BP"
"811","Peroxisome Fission","BP"
"812","Peroxisome Organization","BP"
"813","Phagocytosis","BP"
"814","Phenol-Containing Compound Metabolic Process","BP"
"815","Phenylalanyl-Trna Aminoacylation","BP"
"816","Phenylpropanoid Biosynthetic Process","BP"
"817","Phenylpropanoid Metabolic Process","BP"
"818","Phosphate-Containing Compound Metabolic Process","BP"
"819","Phosphate Ion Transport","BP"
"820","Phosphatidylcholine Metabolic Process","BP"
"821","Phosphatidylinositol-Mediated Signaling","BP"
"822","Phosphatidylinositol Metabolic Process","BP"
"823","Phosphatidylinositol Phosphorylation","BP"
"824","Phosphatidylserine Biosynthetic Process","BP"
"825","Phosphatidylserine Metabolic Process","BP"
"826","Phosphoenolpyruvate-Dependent Sugar Phosphotransferase System","BP"
"827","Phospholipid Biosynthetic Process","BP"
"828","Phospholipid Dephosphorylation","BP"
"829","Phospholipid Metabolic Process","BP"
"830","Phospholipid Transport","BP"
"831","Phosphorus Metabolic Process","BP"
"832","Phosphorylation","BP"
"833","Photosynthesis","BP"
"834","Photosynthesis, Dark Reaction","BP"
"835","Photosynthesis, Light Harvesting","BP"
"836","Photosynthesis, Light Reaction","BP"
"837","Photosynthetic Electron Transport Chain","BP"
"838","Photosynthetic Electron Transport In Photosystem Ii","BP"
"839","Photosystem Ii Stabilization","BP"
"840","Phototransduction","BP"
"841","Phytochromobilin Biosynthetic Process","BP"
"842","Phytochromobilin Metabolic Process","BP"
"843","Pigment Biosynthetic Process","BP"
"844","Pigment Catabolic Process","BP"
"845","Pigment Metabolic Process","BP"
"846","Plant-Type Cell Wall Organization","BP"
"847","Plant-Type Cell Wall Organization Or Biogenesis","BP"
"848","Pollen-Pistil Interaction","BP"
"849","Pollination","BP"
"850","Poly(A) Mrna Export From Nucleus","BP"
"851","Polyamine Biosynthetic Process","BP"
"852","Polyamine Metabolic Process","BP"
"853","Polyol Biosynthetic Process","BP"
"854","Polyol Catabolic Process","BP"
"855","Polyol Metabolic Process","BP"
"856","Polysaccharide Biosynthetic Process","BP"
"857","Polysaccharide Catabolic Process","BP"
"858","Polysaccharide Metabolic Process","BP"
"859","Porphyrin-Containing Compound Biosynthetic Process","BP"
"860","Porphyrin-Containing Compound Catabolic Process","BP"
"861","Porphyrin-Containing Compound Metabolic Process","BP"
"862","Positive Regulation Of Biological Process","BP"
"863","Positive Regulation Of Biosynthetic Process","BP"
"864","Positive Regulation Of Catalytic Activity","BP"
"865","Positive Regulation Of Cellular Biosynthetic Process","BP"
"866","Positive Regulation Of Cellular Metabolic Process","BP"
"867","Positive Regulation Of Cellular Process","BP"
"868","Positive Regulation Of Gene Expression","BP"
"869","Positive Regulation Of Kinase Activity","BP"
"870","Positive Regulation Of Macromolecule Biosynthetic Process","BP"
"871","Positive Regulation Of Macromolecule Metabolic Process","BP"
"872","Positive Regulation Of Metabolic Process","BP"
"873","Positive Regulation Of Molecular Function","BP"
"874","Positive Regulation Of Nitrogen Compound Metabolic Process","BP"
"875","Positive Regulation Of Nucleobase-Containing Compound Metabolic Process","BP"
"876","Positive Regulation Of Protein Kinase Activity","BP"
"877","Positive Regulation Of Transferase Activity","BP"
"878","Post-Translational Protein Modification","BP"
"879","Posttranscriptional Gene Silencing","BP"
"880","Posttranscriptional Gene Silencing By Rna","BP"
"881","Posttranscriptional Regulation Of Gene Expression","BP"
"882","Potassium Ion Transport","BP"
"883","Primary Metabolic Process","BP"
"884","Programmed Cell Death","BP"
"885","Proline Biosynthetic Process","BP"
"886","Proline Catabolic Process","BP"
"887","Proline Metabolic Process","BP"
"888","Prolyl-Trna Aminoacylation","BP"
"889","Prosthetic Group Metabolic Process","BP"
"890","Proteasomal Protein Catabolic Process","BP"
"891","Proteasomal Ubiquitin-Dependent Protein Catabolic Process","BP"
"892","Protein-Chromophore Linkage","BP"
"893","Protein-Dna Complex Assembly","BP"
"894","Protein-Tetrapyrrole Linkage","BP"
"895","Protein Acylation","BP"
"896","Protein Adp-Ribosylation","BP"
"897","Protein Alkylation","BP"
"898","Protein Arginylation","BP"
"899","Protein Catabolic Process","BP"
"900","Protein Complex Assembly","BP"
"901","Protein Complex Biogenesis","BP"
"902","Protein Complex Disassembly","BP"
"903","Protein Deacetylation","BP"
"904","Protein Dephosphorylation","BP"
"905","Protein Folding","BP"
"906","Protein Glycosylation","BP"
"907","Protein Import","BP"
"908","Protein Import Into Mitochondrial Inner Membrane","BP"
"909","Protein Import Into Mitochondrial Outer Membrane","BP"
"910","Protein Import Into Nucleus","BP"
"911","Protein Import Into Nucleus, Docking","BP"
"912","Protein Insertion Into Membrane","BP"
"913","Protein Kinase C-Activating G-Protein Coupled Receptor Signaling Pathway","BP"
"914","Protein Lipidation","BP"
"915","Protein Localization","BP"
"916","Protein Localization To Endoplasmic Reticulum","BP"
"917","Protein Localization To Mitochondrion","BP"
"918","Protein Localization To Nucleus","BP"
"919","Protein Localization To Organelle","BP"
"920","Protein Maturation","BP"
"921","Protein Metabolic Process","BP"
"922","Protein Methylation","BP"
"923","Protein Modification By Small Protein Conjugation","BP"
"924","Protein Modification By Small Protein Conjugation Or Removal","BP"
"925","Protein Myristoylation","BP"
"926","Protein N-Linked Glycosylation","BP"
"927","Protein N-Linked Glycosylation Via Asparagine","BP"
"928","Protein Phosphorylation","BP"
"929","Protein Polymerization","BP"
"930","Protein Processing","BP"
"931","Protein Retention In Er Lumen","BP"
"932","Protein Secretion","BP"
"933","Protein Stabilization","BP"
"934","Protein Targeting","BP"
"935","Protein Targeting To Er","BP"
"936","Protein Targeting To Membrane","BP"
"937","Protein Targeting To Mitochondrion","BP"
"938","Protein Thiol-Disulfide Exchange","BP"
"939","Protein Transport","BP"
"940","Protein Ubiquitination","BP"
"941","Proteolysis","BP"
"942","Proteolysis Involved In Cellular Protein Catabolic Process","BP"
"943","Proton Transport","BP"
"944","Pseudouridine Synthesis","BP"
"945","Pteridine-Containing Compound Biosynthetic Process","BP"
"946","Pteridine-Containing Compound Metabolic Process","BP"
"947","Purine-Containing Compound Salvage","BP"
"948","Purine Nucleobase Biosynthetic Process","BP"
"949","Purine Nucleobase Metabolic Process","BP"
"950","Purine Nucleobase Salvage","BP"
"951","Purine Nucleoside Biosynthetic Process","BP"
"952","Purine Nucleoside Metabolic Process","BP"
"953","Purine Nucleoside Monophosphate Biosynthetic Process","BP"
"954","Purine Nucleoside Monophosphate Metabolic Process","BP"
"955","Purine Nucleoside Triphosphate Biosynthetic Process","BP"
"956","Purine Nucleoside Triphosphate Metabolic Process","BP"
"957","Purine Nucleotide Biosynthetic Process","BP"
"958","Purine Nucleotide Metabolic Process","BP"
"959","Purine Ribonucleoside Biosynthetic Process","BP"
"960","Purine Ribonucleoside Metabolic Process","BP"
"961","Purine Ribonucleoside Monophosphate Biosynthetic Process","BP"
"962","Purine Ribonucleoside Monophosphate Metabolic Process","BP"
"963","Purine Ribonucleoside Salvage","BP"
"964","Purine Ribonucleoside Triphosphate Biosynthetic Process","BP"
"965","Purine Ribonucleoside Triphosphate Metabolic Process","BP"
"966","Purine Ribonucleotide Biosynthetic Process","BP"
"967","Purine Ribonucleotide Metabolic Process","BP"
"968","Pyridine Nucleotide Biosynthetic Process","BP"
"969","Pyridine Nucleotide Metabolic Process","BP"
"970","Pyridoxine Biosynthetic Process","BP"
"971","Pyridoxine Metabolic Process","BP"
"972","Pyrimidine-Containing Compound Salvage","BP"
"973","Pyrimidine Deoxyribonucleoside Diphosphate Biosynthetic Process","BP"
"974","Pyrimidine Deoxyribonucleoside Diphosphate Metabolic Process","BP"
"975","Pyrimidine Deoxyribonucleoside Metabolic Process","BP"
"976","Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process","BP"
"977","Pyrimidine Deoxyribonucleoside Monophosphate Metabolic Process","BP"
"978","Pyrimidine Deoxyribonucleoside Triphosphate Biosynthetic Process","BP"
"979","Pyrimidine Deoxyribonucleoside Triphosphate Metabolic Process","BP"
"980","Pyrimidine Deoxyribonucleotide Biosynthetic Process","BP"
"981","Pyrimidine Deoxyribonucleotide Metabolic Process","BP"
"982","Pyrimidine Nucleobase Biosynthetic Process","BP"
"983","Pyrimidine Nucleobase Metabolic Process","BP"
"984","Pyrimidine Nucleobase Salvage","BP"
"985","Pyrimidine Nucleoside Diphosphate Biosynthetic Process","BP"
"986","Pyrimidine Nucleoside Diphosphate Metabolic Process","BP"
"987","Pyrimidine Nucleoside Metabolic Process","BP"
"988","Pyrimidine Nucleoside Monophosphate Biosynthetic Process","BP"
"989","Pyrimidine Nucleoside Monophosphate Metabolic Process","BP"
"990","Pyrimidine Nucleoside Triphosphate Biosynthetic Process","BP"
"991","Pyrimidine Nucleoside Triphosphate Metabolic Process","BP"
"992","Pyrimidine Nucleotide Biosynthetic Process","BP"
"993","Pyrimidine Nucleotide Metabolic Process","BP"
"994","Pyrimidine Ribonucleoside Metabolic Process","BP"
"995","Pyrimidine Ribonucleoside Monophosphate Biosynthetic Process","BP"
"996","Pyrimidine Ribonucleoside Monophosphate Metabolic Process","BP"
"997","Pyrimidine Ribonucleoside Triphosphate Biosynthetic Process","BP"
"998","Pyrimidine Ribonucleoside Triphosphate Metabolic Process","BP"
"999","Pyrimidine Ribonucleotide Biosynthetic Process","BP"
"1000","Pyrimidine Ribonucleotide Metabolic Process","BP"
"1001","Pyruvate Metabolic Process","BP"
"1002","Queuosine Biosynthetic Process","BP"
"1003","Queuosine Metabolic Process","BP"
"1004","Quinone Cofactor Biosynthetic Process","BP"
"1005","Quinone Cofactor Metabolic Process","BP"
"1006","Rab Protein Signal Transduction","BP"
"1007","Ras Protein Signal Transduction","BP"
"1008","Reciprocal Meiotic Recombination","BP"
"1009","Recognition Of Pollen","BP"
"1010","Recombinational Repair","BP"
"1011","Red, Far-Red Light Phototransduction","BP"
"1012","Red Or Far-Red Light Signaling Pathway","BP"
"1013","Regulation Of Actin Cytoskeleton Organization","BP"
"1014","Regulation Of Actin Filament-Based Process","BP"
"1015","Regulation Of Actin Filament Length","BP"
"1016","Regulation Of Actin Filament Polymerization","BP"
"1017","Regulation Of Actin Polymerization Or Depolymerization","BP"
"1018","Regulation Of Anatomical Structure Morphogenesis","BP"
"1019","Regulation Of Anatomical Structure Size","BP"
"1020","Regulation Of Apoptotic Process","BP"
"1021","Regulation Of Arf Gtpase Activity","BP"
"1022","Regulation Of Arf Protein Signal Transduction","BP"
"1023","Regulation Of Binding","BP"
"1024","Regulation Of Biological Process","BP"
"1025","Regulation Of Biological Quality","BP"
"1026","Regulation Of Biosynthetic Process","BP"
"1027","Regulation Of Catabolic Process","BP"
"1028","Regulation Of Catalytic Activity","BP"
"1029","Regulation Of Cellular Biosynthetic Process","BP"
"1030","Regulation Of Cellular Component Biogenesis","BP"
"1031","Regulation Of Cellular Component Organization","BP"
"1032","Regulation Of Cellular Component Size","BP"
"1033","Regulation Of Cellular Metabolic Process","BP"
"1034","Regulation Of Cellular Process","BP"
"1035","Regulation Of Cellular Protein Metabolic Process","BP"
"1036","Regulation Of Cellular Response To Stress","BP"
"1037","Regulation Of Cell Communication","BP"
"1038","Regulation Of Cell Cycle","BP"
"1039","Regulation Of Cell Cycle Process","BP"
"1040","Regulation Of Cell Death","BP"
"1041","Regulation Of Cell Morphogenesis","BP"
"1042","Regulation Of Cell Shape","BP"
"1043","Regulation Of Cytoskeleton Organization","BP"
"1044","Regulation Of Dephosphorylation","BP"
"1045","Regulation Of Developmental Process","BP"
"1046","Regulation Of Dna Binding","BP"
"1047","Regulation Of Dna Metabolic Process","BP"
"1048","Regulation Of Dna Repair","BP"
"1049","Regulation Of Dna Replication","BP"
"1050","Regulation Of Generation Of Precursor Metabolites And Energy","BP"
"1051","Regulation Of Gene Expression","BP"
"1052","Regulation Of Gene Expression, Epigenetic","BP"
"1053","Regulation Of Gtpase Activity","BP"
"1054","Regulation Of Hormone Levels","BP"
"1055","Regulation Of Hydrolase Activity","BP"
"1056","Regulation Of Kinase Activity","BP"
"1057","Regulation Of Macromolecule Biosynthetic Process","BP"
"1058","Regulation Of Macromolecule Metabolic Process","BP"
"1059","Regulation Of Metabolic Process","BP"
"1060","Regulation Of Mitosis","BP"
"1061","Regulation Of Mitotic Cell Cycle","BP"
"1062","Regulation Of Mitotic Metaphase/Anaphase Transition","BP"
"1063","Regulation Of Molecular Function","BP"
"1064","Regulation Of Neurotransmitter Levels","BP"
"1065","Regulation Of Nitrogen Compound Metabolic Process","BP"
"1066","Regulation Of Nitrogen Utilization","BP"
"1067","Regulation Of Nuclear Division","BP"
"1068","Regulation Of Nucleobase-Containing Compound Metabolic Process","BP"
"1069","Regulation Of Organelle Organization","BP"
"1070","Regulation Of Ph","BP"
"1071","Regulation Of Phosphatase Activity","BP"
"1072","Regulation Of Phosphate Metabolic Process","BP"
"1073","Regulation Of Phosphoprotein Phosphatase Activity","BP"
"1074","Regulation Of Phosphorus Metabolic Process","BP"
"1075","Regulation Of Phosphorylation","BP"
"1076","Regulation Of Photosynthesis","BP"
"1077","Regulation Of Photosynthesis, Light Reaction","BP"
"1078","Regulation Of Primary Metabolic Process","BP"
"1079","Regulation Of Programmed Cell Death","BP"
"1080","Regulation Of Protein Catabolic Process","BP"
"1081","Regulation Of Protein Complex Assembly","BP"
"1082","Regulation Of Protein Kinase Activity","BP"
"1083","Regulation Of Protein Metabolic Process","BP"
"1084","Regulation Of Protein Polymerization","BP"
"1085","Regulation Of Protein Stability","BP"
"1086","Regulation Of Rab Gtpase Activity","BP"
"1087","Regulation Of Rab Protein Signal Transduction","BP"
"1088","Regulation Of Ras Gtpase Activity","BP"
"1089","Regulation Of Ras Protein Signal Transduction","BP"
"1090","Regulation Of Response To Stimulus","BP"
"1091","Regulation Of Response To Stress","BP"
"1092","Regulation Of Rho Protein Signal Transduction","BP"
"1093","Regulation Of Rna Metabolic Process","BP"
"1094","Regulation Of Sequence-Specific Dna Binding Transcription Factor Activity","BP"
"1095","Regulation Of Signaling","BP"
"1096","Regulation Of Signal Transduction","BP"
"1097","Regulation Of Small Gtpase Mediated Signal Transduction","BP"
"1098","Regulation Of S Phase","BP"
"1099","Regulation Of S Phase Of Mitotic Cell Cycle","BP"
"1100","Regulation Of Transcription, Dna-Dependent","BP"
"1101","Regulation Of Transcription From Rna Polymerase Iii Promoter","BP"
"1102","Regulation Of Transcription From Rna Polymerase Ii Promoter","BP"
"1103","Regulation Of Transcription Regulator Activity","BP"
"1104","Regulation Of Transferase Activity","BP"
"1105","Regulation Of Translation","BP"
"1106","Regulation Of Translational Elongation","BP"
"1107","Regulation Of Translational Fidelity","BP"
"1108","Regulation Of Translational Initiation","BP"
"1109","Removal Of Superoxide Radicals","BP"
"1110","Replication Fork Protection","BP"
"1111","Reproduction","BP"
"1112","Reproductive Process","BP"
"1113","Respiratory Chain Complex Iv Assembly","BP"
"1114","Respiratory Electron Transport Chain","BP"
"1115","Respiratory Gaseous Exchange","BP"
"1116","Response To Abiotic Stimulus","BP"
"1117","Response To Antibiotic","BP"
"1118","Response To Bacterium","BP"
"1119","Response To Biotic Stimulus","BP"
"1120","Response To Chemical Stimulus","BP"
"1121","Response To Desiccation","BP"
"1122","Response To Dna Damage Stimulus","BP"
"1123","Response To Drug","BP"
"1124","Response To Endogenous Stimulus","BP"
"1125","Response To Ethylene Stimulus","BP"
"1126","Response To External Stimulus","BP"
"1127","Response To Extracellular Stimulus","BP"
"1128","Response To Fungus","BP"
"1129","Response To Heat","BP"
"1130","Response To Hormone Stimulus","BP"
"1131","Response To Inorganic Substance","BP"
"1132","Response To Light Stimulus","BP"
"1133","Response To Metal Ion","BP"
"1134","Response To Nutrient Levels","BP"
"1135","Response To Organic Substance","BP"
"1136","Response To Other Organism","BP"
"1137","Response To Oxidative Stress","BP"
"1138","Response To Oxygen Radical","BP"
"1139","Response To Radiation","BP"
"1140","Response To Reactive Oxygen Species","BP"
"1141","Response To Red Or Far Red Light","BP"
"1142","Response To Starvation","BP"
"1143","Response To Stimulus","BP"
"1144","Response To Stress","BP"
"1145","Response To Superoxide","BP"
"1146","Response To Temperature Stimulus","BP"
"1147","Response To Water Deprivation","BP"
"1148","Response To Water Stimulus","BP"
"1149","Response To Wounding","BP"
"1150","Retrograde Transport, Endosome To Golgi","BP"
"1151","Retrograde Vesicle-Mediated Transport, Golgi To Er","BP"
"1152","Rho Protein Signal Transduction","BP"
"1153","Riboflavin Biosynthetic Process","BP"
"1154","Riboflavin Metabolic Process","BP"
"1155","Ribonucleoprotein Complex Assembly","BP"
"1156","Ribonucleoprotein Complex Biogenesis","BP"
"1157","Ribonucleoside Biosynthetic Process","BP"
"1158","Ribonucleoside Metabolic Process","BP"
"1159","Ribonucleoside Monophosphate Biosynthetic Process","BP"
"1160","Ribonucleoside Monophosphate Metabolic Process","BP"
"1161","Ribonucleoside Triphosphate Biosynthetic Process","BP"
"1162","Ribonucleoside Triphosphate Metabolic Process","BP"
"1163","Ribonucleotide Biosynthetic Process","BP"
"1164","Ribonucleotide Metabolic Process","BP"
"1165","Ribosome Assembly","BP"
"1166","Ribosome Biogenesis","BP"
"1167","Rna-Dependent Dna Replication","BP"
"1168","Rna 3-End Processing","BP"
"1169","Rna Biosynthetic Process","BP"
"1170","Rna Catabolic Process","BP"
"1171","Rna Export From Nucleus","BP"
"1172","Rna Interference","BP"
"1173","Rna Localization","BP"
"1174","Rna Metabolic Process","BP"
"1175","Rna Modification","BP"
"1176","Rna Polyadenylation","BP"
"1177","Rna Processing","BP"
"1178","Rna Splicing","BP"
"1179","Rna Splicing, Via Endonucleolytic Cleavage And Ligation","BP"
"1180","Rna Splicing, Via Transesterification Reactions","BP"
"1181","Rna Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile","BP"
"1182","Rna Transport","BP"
"1183","Rrna Metabolic Process","BP"
"1184","Rrna Modification","BP"
"1185","Rrna Processing","BP"
"1186","Second-Messenger-Mediated Signaling","BP"
"1187","Secondary Metabolic Process","BP"
"1188","Secretion","BP"
"1189","Secretion By Cell","BP"
"1190","Sensory Perception","BP"
"1191","Sensory Perception Of Light Stimulus","BP"
"1192","Serine Family Amino Acid Biosynthetic Process","BP"
"1193","Serine Family Amino Acid Catabolic Process","BP"
"1194","Serine Family Amino Acid Metabolic Process","BP"
"1195","Seryl-Trna Aminoacylation","BP"
"1196","Sexual Reproduction","BP"
"1197","Siderophore Biosynthetic Process","BP"
"1198","Siderophore Biosynthetic Process From Catechol","BP"
"1199","Siderophore Metabolic Process","BP"
"1200","Signaling","BP"
"1201","Signal Peptide Processing","BP"
"1202","Signal Transduction","BP"
"1203","Signal Transmission","BP"
"1204","Small Gtpase Mediated Signal Transduction","BP"
"1205","Small Molecule Biosynthetic Process","BP"
"1206","Small Molecule Catabolic Process","BP"
"1207","Small Molecule Metabolic Process","BP"
"1208","Sodium Ion Transport","BP"
"1209","Spermatogenesis","BP"
"1210","Spermidine Biosynthetic Process","BP"
"1211","Spermidine Metabolic Process","BP"
"1212","Spermine Biosynthetic Process","BP"
"1213","Spermine Metabolic Process","BP"
"1214","Sphingoid Metabolic Process","BP"
"1215","Sphingolipid Metabolic Process","BP"
"1216","Spliceosomal Complex Assembly","BP"
"1217","Sporulation","BP"
"1218","Sporulation Resulting In Formation Of A Cellular Spore","BP"
"1219","Srp-Dependent Cotranslational Protein Targeting To Membrane","BP"
"1220","Steroid Biosynthetic Process","BP"
"1221","Steroid Metabolic Process","BP"
"1222","Sterol Metabolic Process","BP"
"1223","Sterol Transport","BP"
"1224","Sucrose Metabolic Process","BP"
"1225","Sucrose Transport","BP"
"1226","Sulfate Assimilation","BP"
"1227","Sulfate Transport","BP"
"1228","Sulfur Amino Acid Biosynthetic Process","BP"
"1229","Sulfur Amino Acid Metabolic Process","BP"
"1230","Sulfur Compound Biosynthetic Process","BP"
"1231","Sulfur Compound Metabolic Process","BP"
"1232","Superoxide Metabolic Process","BP"
